UtilityName,UtilityGroup,LineConnected,UomName,UomScale,Description,SampleValues,Formula
DG,SUP,KVAH,Kilo Volt Amp Hour,KVAH,DG | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"4.4, 5.47, 7.78",
DG,SUP,kWh,Kilowatt Hour,kWh,"DG | Active Energy Consumed — Main billing parameter; total electricity used by lighting, equipment and HVAC","16.75, 15.06, 19.44",
EB,SUP,Current_1,Cuurent,Amp,EB | Phase R Current (Amps) — Current on Phase 1; imbalance across phases indicates a fault condition,"10.79, 62.62, 23.53",
EB,SUP,Current_2,Cuurent,Amp,EB | Phase Y Current (Amps) — Current on Phase 2; imbalance across phases indicates a fault condition,"8.17, 24.26, 17.7",
EB,SUP,Current_3,Cuurent,Amp,EB | Phase B Current (Amps) — Current on Phase 3; imbalance across phases indicates a fault condition,"37.68, 7.25, 15.7",
EB,SUP,FREQ,Freq,Hz,EB | Grid Frequency (Hz) — Should be ~50 Hz in India; deviations indicate grid instability,"49.9, 50.06, 50.05",
EB,SUP,KVA,Kilo Volt Amp,KVA,EB | Apparent Power (KVA) — Total power demand of the unit including both real and reactive components,"20.24, 11.82, 19.35",
EB,SUP,KVA-Sum,Kilo Volt Amp,KVA,EB | Total Apparent Power — Combined real and reactive power demand at that instant,"54.8, 46.58, 51.75",
EB,SUP,KVAH,Kilo Volt Amp Hour,KVAH,EB | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"13.44, 10.13, 2.31",
EB,SUP,KVAH,Kilowatt Hour,kWh,EB | Apparent Energy — Total energy drawn including reactive component; KVAH ≥ kWh always; many utilities bill on KVAH when PF is poor,"13.44, 10.13, 2.31",
EB,SUP,KVAR-Sum,Reactive Power,KVAR,EB | Reactive Power Demand — Current reactive power being drawn; high values indicate need for capacitor bank correction,"20002.7, 19370.79, 12202.42",
EB,SUP,KVARH,Reactive Energy,KVARH,"EB | Reactive Energy — Energy that oscillates without doing real work; caused by motors, compressors and inductive loads","1.31, 0.29, 0.15",
EB,SUP,KVARH (LAG),Kilo Volt Amp Hour,KVAH,"EB | Lagging Reactive Energy (Inductive) — Dominant in restaurants due to refrigeration compressors, exhaust fans and HVAC motors; key driver of poor power factor","1.81, 8.56, 8.28",
EB,SUP,PF,Power Factor,PF,EB | Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.99, 0.95, 0.96",
