MeterType,MeterSerial,UtilityName,UtilityGroup,LineConnected,MeterName,UomScale,UomName,SystemName,SystemCode,Description,SampleValues
2,1,null,null,Current_1,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase R Current (Amps) — Current on Phase 1; imbalance across phases indicates a fault condition,"25.84, 14.81, 10.75"
2,1,null,null,Current_2,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase Y Current (Amps) — Current on Phase 2; imbalance across phases indicates a fault condition,"44.94, 2.97, 8.89"
2,1,null,null,Current_3,Electricity,Amp,Cuurent,Electricity Monitoring,ELEC01,Phase B Current (Amps) — Current on Phase 3; imbalance across phases indicates a fault condition,"14.78, 14.35, 5.31"
2,1,null,null,FREQ,Electricity,Hz,Freq,Electricity Monitoring,ELEC01,Grid Frequency (Hz) — Should be ~50 Hz in India; deviations indicate grid instability,null
2,1,null,null,KVA-Sum,Electricity,KVA,Kilo Volt Amp,Electricity Monitoring,ELEC01,Total Apparent Power — Combined real and reactive power demand at that instant,"0.42, 0.42, 0.41"
2,1,null,null,KVAR-Sum,Electricity,KVAR,Reactive Power,Electricity Monitoring,ELEC01,Reactive Power Demand — Current reactive power being drawn; high values indicate need for capacitor bank correction,"416.43, 405.45, 417.43"
2,1,null,null,KVARH,Electricity,KVARH,Reactive Energy,Electricity Monitoring,ELEC01,"Reactive Energy — Energy that oscillates without doing real work; caused by motors, compressors and inductive loads","0.6, 3.33, -0.41"
2,1,null,null,KVARH (LAG),Electricity,KVAH,Kilo Volt Amp Hour,Electricity Monitoring,ELEC01,"Lagging Reactive Energy (Inductive) — Dominant in restaurants due to refrigeration compressors, exhaust fans and HVAC motors; key driver of poor power factor",null
2,1,null,null,NA,Electricity,NA,NA,Electricity Monitoring,ELEC01,Not Assigned / Not Applicable,null
2,1,null,null,PF,Electricity,PF,Power Factor,Electricity Monitoring,ELEC01,Power Factor — Ratio of kW ÷ KVA; ideal = 1.0; below 0.9 triggers penalty billing from utility,"0.92, 0.97, 1.0"
2,1,null,null,VOLTAGE_3-1,Electricity,Volt,Voltage,Electricity Monitoring,ELEC01,Line-to-Line Voltage (Phase 3 to Phase 1) — Should be ~415V in a 3-phase supply system,null
2,1,null,null,VTHD_B,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase B) — Power quality indicator; high THD from variable speed drives and inverters,null
2,1,null,null,VTHD_R,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase R) — Power quality indicator; high THD from variable speed drives and inverters,null
2,1,null,null,VTHD_Y,Electricity,%,Percentage,Electricity Monitoring,ELEC01,Voltage Total Harmonic Distortion (Phase Y) — Power quality indicator; high THD from variable speed drives and inverters,null
